gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,uuid,admission,staff_teacher,enquiry_course,enquiry_type,enquiry_month,qualification,college,name,Jan fee,Feb fee,Mar fee,Apr fee,May fee,Jun fee,jan_late,feb_late,mar_late,apr_late,may_late,jun_late,Average Fee Delay,Jul predicted date,10th_grade,12th_grade,graduation,first_eval_aptitude,first_eval_programming,first_eval_comm,first_eval,second_eval_aptitude,second_eval_programming,second_eval_comm,second_eval,third_eval_aptitude,third_eval_programming,third_eval_comm,third_eval,fourth_eval_aptitude,fourth_eval_programming,fourth_eval_comm,fourth_eval,total_eval_aptitude,total_eval_programming,total_eval_comm,total_eval,dropped
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,14,60,11,75,Yes,Good,Under-7,H,0377d14b-11da-4fd9-9131-35475e685684,Admission,Jaswinder,PHP,College,Mar-2020,MCA,Government College for Girls,Bhaskara,16-01-2020,12-02-2020,26-03-2020,22-04-2020,17-05-2020,15-06-2020,6,2,16,12,7,5,8 days 00:00:00.000000000,18-07-2020,80.59,85.94,8.4,5.0,3.5,4.5,13.0,5.5,4.0,5.0,14.5,4.0,5.5,4.0,13.5,5.5,5.0,4.5,15.0,5.0,4.5,4.5,14.0,No
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50,62,73,43,Yes,Bad,Above-7,M,05a883fa-b0f7-43e6-b251-8be37a1de1aa,Admission,Jaswinder,Angular,Social Media,Jan-2020,B.Tech-IT,"Chandigarh University, Gharuan",Kiran,24-01-2020,20-02-2020,12-03-2020,22-04-2020,14-05-2020,06-06-2020,14,10,2,12,4,-4,6 days 00:00:00.000000000,16-07-2020,67.21,75.82,6.6,4.0,5.5,5.0,14.5,5.5,4.5,4.5,14.5,4.5,5.5,5.5,15.5,4.5,4.5,5.5,14.5,4.625,5.0,5.125,14.75,No
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Father,32,88,32,25,Yes,Good,Under-7,M,05f3d698-3c75-4bae-9a4b-32c3bffc1bfe,Admission,Sandeep,Android,Web Enquiry,Mar-2020,M.Tech-CSE,Post Graduate Government College,Dharma,09-01-2020,11-02-2020,11-03-2020,22-04-2020,14-05-2020,20-06-2020,-1,1,1,12,4,10,4 days 00:00:00.000000000,14-07-2020,80.53,89.85,8.0,5.5,3.5,3.5,12.5,5.0,4.5,4.5,14.0,4.5,5.0,4.0,13.5,5.0,4.5,5.5,15.0,5.0,4.375,4.375,13.75,No
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,81,82,69,13,Yes,Good,Above-7,M,06047809-c015-464f-8e66-32bf28391433,Admission,Vaishali Thakur,Android,Social Media,May-2020,M.Tech-IT,Chandigarh College of Architecture,Mandeep,24-01-2020,11-02-2020,21-03-2020,10-04-2020,12-05-2020,15-06-2020,14,1,11,0,2,5,6 days 00:00:00.000000000,16-07-2020,82.89,88.95,5.7,5.0,4.0,5.0,14.0,4.0,5.5,4.5,14.0,5.0,4.0,4.0,13.0,4.5,5.0,5.0,14.5,4.625,4.625,4.625,13.875,No
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,70,80,25,70,Yes,Good,Under-7,M,0668091e-fadb-46f9-a9fd-6d4832b1732f,Admission,Jaswinder,AIML,Social Media,Jan-2020,B.Tech-IT,National Institute of Technical Teachers Training & Research,Devraj,14-01-2020,19-02-2020,18-03-2020,22-04-2020,19-05-2020,11-06-2020,4,9,8,12,9,1,7 days 00:00:00.000000000,17-07-2020,81.62,71.51,9.5,4.5,4.5,4.0,13.0,4.5,4.0,4.5,13.0,4.5,5.0,4.5,14.0,4.5,5.5,5.0,15.0,4.5,4.75,4.5,13.75,No
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Father,7,61,22,14,No,Bad,Above-7,L,074ae168-549f-4abb-b5d0-e128ae793c95,Admission,Vaishali Thakur,AIML,College,Jun-2020,M.Tech-ECE,National Institute of Technical Teachers Training & Research,Jayanti,25-01-2020,19-02-2020,17-03-2020,14-04-2020,15-05-2020,21-06-2020,15,9,7,4,5,11,8 days 00:00:00.000000000,18-07-2020,94.58,80.03,7.4,5.5,4.0,4.5,14.0,4.5,4.5,4.5,13.5,5.5,4.5,5.0,15.0,5.0,5.5,4.5,15.0,5.125,4.625,4.625,14.375,No
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,10,90,30,21,No,Good,Under-7,M,082f11cd-6441-4f3f-96c7-1c4fddd68363,Admission,Prasenjit,Android,Web Enquiry,Feb-2020,M.Tech-CSE,"Chandigarh University, Jhanjeri",Mukesha,15-01-2020,09-02-2020,24-03-2020,11-04-2020,11-05-2020,15-06-2020,5,-1,14,1,1,5,4 days 00:00:00.000000000,14-07-2020,87.61,69.81,5.4,4.0,3.5,3.5,11.0,4.5,5.5,5.5,15.5,4.0,4.5,5.0,13.5,5.5,5.0,4.5,15.0,4.5,4.625,4.625,13.75,No
F,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,75,90,51,17,Yes,Good,Under-7,H,086488a9-96eb-4bd6-9bf9-fee20b06146b,Admission,Vandana,Angular,Phone,Feb-2020,M.Tech-CSE,Post Graduate Government College for Girls,Narayana,21-01-2020,10-02-2020,11-03-2020,18-04-2020,18-05-2020,09-06-2020,11,0,1,8,8,-1,4 days 00:00:00.000000000,14-07-2020,66.36,73.52,5.4,5.0,5.0,4.5,14.5,5.0,4.0,4.0,13.0,4.0,5.0,4.0,13.0,4.5,4.5,4.5,13.5,4.625,4.625,4.25,13.5,No
M,lebanon,lebanon,MiddleSchool,G-08,A,Math,F,Father,20,14,12,19,No,Bad,Above-7,L,08ef508c-c559-419a-9d88-a6d115097967,Admission,Jaswinder,Digital,Email,Jan-2020,M.Tech-ECE,DAV College,Lilavady,08-01-2020,18-02-2020,15-03-2020,21-04-2020,23-05-2020,19-06-2020,-2,8,5,11,13,9,7 days 00:00:00.000000000,17-07-2020,86.95,72.26,6.7,5.0,3.5,4.0,12.5,4.0,4.5,4.5,13.0,5.5,4.5,5.0,15.0,5.5,5.5,5.0,16.0,5.0,4.5,4.625,14.125,No
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,15,21,2,90,No,Bad,Under-7,M,099fbfd6-137d-4ec9-b152-3484c6c63830,Admission,Vandana,Java,Email,Jan-2020,Diploma in CSE,National Institute of Technical Teachers Training & Research,Ankur,15-01-2020,08-02-2020,10-03-2020,12-04-2020,16-05-2020,14-06-2020,5,-2,0,2,6,4,2 days 00:00:00.000000000,12-07-2020,90.58,74.72,5.3,4.0,5.5,4.0,13.5,4.5,4.5,4.0,13.0,4.0,5.5,5.5,15.0,5.0,4.5,4.5,14.0,4.375,5.0,4.5,13.875,No
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,88,81,50,10,Yes,Good,Above-7,M,09f70842-b8b7-4dc2-b72d-3e9104adda8a,Enquiry,,PHP,Walk-in,Jun-2020,MCA,Chandigarh College of Engineering and Technology,Kesavane,06-01-2020,20-02-2020,26-03-2020,20-04-2020,14-05-2020,16-06-2020,-4,10,16,10,4,6,7 days 00:00:00.000000000,17-07-2020,68.66,77.12,9.1,5.0,3.5,5.0,13.5,4.0,4.5,4.5,13.0,4.5,4.5,5.5,14.5,5.0,5.0,4.5,14.5,4.625,4.375,4.875,13.875,No
F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,72,80,58,66,Yes,Good,Above-7,M,0abb9a74-02ab-4d3f-a874-faf71e12d521,Admission,Jaswinder,Java,Web Enquiry,Apr-2020,M.Tech-IT,Guru Gobind Singh College for Women,Anil,18-01-2020,09-02-2020,17-03-2020,22-04-2020,09-05-2020,21-06-2020,8,-1,7,12,-1,11,6 days 00:00:00.000000000,16-07-2020,77.87,86.14,5.8,3.5,4.5,4.5,12.5,4.0,5.5,5.5,15.0,5.5,5.0,5.5,16.0,4.5,4.5,5.0,14.0,4.375,4.875,5.125,14.375,No
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,79,88,79,20,Yes,Good,Above-7,M,0af808f0-9f56-4f36-93b2-020a4463104a,Admission,Bhawna Singh,PHP,Social Media,Jun-2020,Diploma in IT,Chitkara University,Minali,19-01-2020,15-02-2020,14-03-2020,25-04-2020,20-05-2020,08-06-2020,9,5,4,15,10,-2,7 days 00:00:00.000000000,17-07-2020,89.55,88.55,9.4,4.5,5.0,5.0,14.5,4.5,4.5,5.0,14.0,5.5,4.5,5.0,15.0,5.0,4.5,5.5,15.0,4.875,4.625,5.125,14.625,No
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,89,87,86,15,Yes,Good,Under-7,M,0c59f3fa-e1a6-4a52-9ba8-88574ff091b5,Admission,Bhawna Singh,Python,College,Apr-2020,Diploma in IT,Bhaddal group of Institutes,Aruna,24-01-2020,18-02-2020,16-03-2020,20-04-2020,19-05-2020,16-06-2020,14,8,6,10,9,6,9 days 00:00:00.000000000,19-07-2020,83.01,86.94,7.6,5.0,4.0,4.0,13.0,4.5,5.0,5.0,14.5,4.5,5.5,5.0,15.0,5.0,5.5,4.5,15.0,4.75,5.0,4.625,14.375,No
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,19,98,20,2,Yes,Good,Under-7,H,0cf10043-1e2d-494e-9949-257f8fc7b6c7,Admission,Bhawna Singh,AIML,Web Enquiry,Apr-2020,MCA,SVIET,Gopal,25-01-2020,13-02-2020,16-03-2020,24-04-2020,23-05-2020,16-06-2020,15,3,6,14,13,6,10 days 00:00:00.000000000,20-07-2020,93.61,68.05,9.1,5.0,5.5,4.0,14.5,4.5,4.0,4.5,13.0,4.5,4.0,5.5,14.0,4.5,4.5,4.5,13.5,4.625,4.5,4.625,13.75,No
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35,92,29,33,No,Bad,Under-7,M,0d21c0d6-4f70-422b-86e9-1b55fdd63367,Enquiry,,Python,Walk-in,Jun-2020,B.Tech-CSE,Rayat & Bahra University,Kapila,05-01-2020,14-02-2020,11-03-2020,11-04-2020,19-05-2020,06-06-2020,-5,4,1,1,9,-4,1 days 00:00:00.000000000,11-07-2020,92.46,67.95,6.1,5.5,5.5,5.0,16.0,4.0,4.5,5.0,13.5,4.0,5.5,4.5,14.0,5.5,5.0,4.5,15.0,4.75,5.125,4.75,14.625,No
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,15,25,37,13,Yes,Good,Above-7,L,0f3f7a79-2014-4d6f-b440-e0e89a13b752,Admission,Vandana,Angular,Web Enquiry,May-2020,Diploma in ECE,DAV College,Harinder,10-01-2020,20-02-2020,22-03-2020,18-04-2020,21-05-2020,14-06-2020,0,10,12,8,11,4,8 days 00:00:00.000000000,18-07-2020,85.92,72.06,9.8,5.0,4.0,4.5,13.5,4.0,4.0,4.5,12.5,4.5,5.5,4.5,14.5,4.5,5.5,5.5,15.5,4.5,4.75,4.75,14.0,No
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,42,24,12,24,No,Bad,Above-7,L,0f8a32db-504d-4309-888e-cab6402abc37,Admission,Bhawna Singh,Android,College,May-2020,MCA,Chitkara University,Dhananjay,13-01-2020,17-02-2020,15-03-2020,14-04-2020,23-05-2020,11-06-2020,3,7,5,4,13,1,6 days 00:00:00.000000000,16-07-2020,92.7,66.05,6.7,5.5,5.5,5.0,16.0,4.0,5.5,5.0,14.5,4.0,4.5,5.0,13.5,4.5,5.0,4.5,14.0,4.5,5.125,4.875,14.5,No
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Father,72,80,58,86,Yes,Good,Under-7,M,0fe6d26e-5556-4c06-b52a-2689f31f6cf6,Admission,Prasenjit,Android,Social Media,Jun-2020,MCA,Chandigarh College of Engineering and Technology,Karuna,08-01-2020,19-02-2020,22-03-2020,11-04-2020,22-05-2020,21-06-2020,-2,9,12,1,12,11,7 days 00:00:00.000000000,17-07-2020,79.68,73.01,9.0,5.0,5.0,4.5,14.5,5.0,5.0,5.5,15.5,5.0,4.0,4.0,13.0,4.5,4.5,5.0,14.0,4.875,4.625,4.75,14.25,No
M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,F,Mum,4,10,11,7,No,Good,Above-7,L,10c6c0ed-799a-477f-b4fb-71c6153ec815,Enquiry,,Android,Phone,Mar-2020,Diploma in ECE,Chitkara University,Darshana,18-01-2020,11-02-2020,15-03-2020,26-04-2020,09-05-2020,20-06-2020,8,1,5,16,-1,10,6 days 00:00:00.000000000,16-07-2020,89.13,73.62,7.8,4.5,4.0,5.5,14.0,4.5,4.0,5.0,13.5,4.5,5.5,4.5,14.5,5.5,5.0,5.5,16.0,4.75,4.625,5.125,14.5,No
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,70,82,75,29,Yes,Good,Under-7,M,11598cff-8521-4c34-a4ae-051e3e473635,Admission,Sandeep,PHP,Social Media,Feb-2020,M.Tech-CSE,Indo Global Colleges,Abhilasha,25-01-2020,18-02-2020,21-03-2020,19-04-2020,12-05-2020,11-06-2020,15,8,11,9,2,1,8 days 00:00:00.000000000,18-07-2020,78.41,76.77,5.4,3.5,4.5,5.0,13.0,4.0,4.0,4.5,12.5,5.5,4.5,4.5,14.5,5.5,5.5,4.5,15.5,4.625,4.625,4.625,13.875,No
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,20,14,12,70,No,Bad,Above-7,L,11865684-a89f-4e90-afa0-1f393ee38f03,Enquiry,,Android,Email,Jan-2020,M.Tech-ECE,Government College for Girls,Hamsa,10-01-2020,17-02-2020,15-03-2020,21-04-2020,21-05-2020,13-06-2020,0,7,5,11,11,3,6 days 00:00:00.000000000,16-07-2020,70.6,84.94,5.4,4.5,4.5,5.5,14.5,4.0,4.5,4.0,12.5,4.5,5.0,4.0,13.5,5.5,5.0,4.5,15.0,4.625,4.75,4.5,13.875,No
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,88,90,76,81,Yes,Good,Under-7,H,122b0c23-bc42-4bf3-ac56-5fc63649a056,Enquiry,,Java,Social Media,Apr-2020,M.Tech-ECE,Rayat & Bahra University,Kanti,09-01-2020,18-02-2020,16-03-2020,19-04-2020,20-05-2020,07-06-2020,-1,8,6,9,10,-3,5 days 00:00:00.000000000,15-07-2020,75.87,79.58,6.4,4.5,5.0,5.5,15.0,4.5,5.5,5.5,15.5,4.5,5.0,4.0,13.5,4.5,5.0,5.5,15.0,4.5,5.125,5.125,14.75,No
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50,88,30,80,Yes,Good,Under-7,H,125f7ae4-e4f7-41e0-8cbf-18bb3b7d0cf5,Admission,Prasenjit,Digital,Email,May-2020,B.Tech-CSE,Indo Global Colleges,Lalitha,24-01-2020,17-02-2020,07-03-2020,14-04-2020,18-05-2020,12-06-2020,14,7,-3,4,8,2,5 days 00:00:00.000000000,15-07-2020,76.47,73.37,10.0,5.0,4.0,5.0,14.0,4.0,4.0,5.5,13.5,4.0,4.5,5.0,13.5,4.5,4.5,4.5,13.5,4.375,4.25,5.0,13.625,No
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,10,12,29,93,No,Bad,Above-7,L,132b927c-944b-43ef-97a2-b4544152c811,Admission,Bhawna Singh,AIML,Email,May-2020,M.Tech-ECE,Indo Global Colleges,Inderjit,11-01-2020,15-02-2020,12-03-2020,23-04-2020,10-05-2020,14-06-2020,1,5,2,13,0,4,4 days 00:00:00.000000000,14-07-2020,67.21,87.9,8.5,4.5,5.0,5.0,14.5,5.5,5.0,4.0,14.5,4.5,5.5,4.5,14.5,4.5,5.5,4.5,14.5,4.75,5.25,4.5,14.5,No
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,42,21,2,16,No,Bad,Under-7,M,133865b4-4665-4a2a-877f-5ba07fd3d736,Admission,Ashita,Mean Stack,Email,Mar-2020,BCA,Goswami Ganesh Dutta Sanatan Dharma College,Dharmaradj,25-01-2020,15-02-2020,23-03-2020,18-04-2020,23-05-2020,10-06-2020,15,5,13,8,13,0,9 days 00:00:00.000000000,19-07-2020,79.8,77.17,8.7,4.5,3.5,4.5,12.5,5.0,5.0,5.0,15.0,5.5,4.0,5.5,15.0,5.0,5.0,5.5,15.5,5.0,4.375,5.125,14.5,No
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0,0,5,80,Yes,Good,Above-7,L,146a814a-ce43-4b7e-a5a0-78d256783e7d,Admission,Jaswinder,PHP,Walk-in,Jun-2020,B.Tech-CSE,Chandigarh College of Architecture,Dhananjay,16-01-2020,09-02-2020,18-03-2020,18-04-2020,13-05-2020,10-06-2020,6,-1,8,8,3,0,4 days 00:00:00.000000000,14-07-2020,93.12,82.94,9.7,4.5,4.0,3.5,12.0,4.5,5.0,5.0,14.5,4.5,5.0,5.0,14.5,5.5,4.5,5.0,15.0,4.75,4.625,4.625,14.0,No
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5,3,2,10,Yes,Good,Under-7,L,147f4319-5f46-447a-a9bd-f2873da9e41c,Admission,Sandeep,Android,Phone,Mar-2020,B.Tech-CSE,Goswami Ganesh Dutta Sanatan Dharma College,Lekha,16-01-2020,20-02-2020,24-03-2020,11-04-2020,10-05-2020,08-06-2020,6,10,14,1,0,-2,5 days 00:00:00.000000000,15-07-2020,69.03,89.6,8.9,4.0,5.5,3.5,13.0,4.5,5.0,4.0,13.5,5.0,4.5,4.5,14.0,4.5,5.5,5.5,15.5,4.5,5.125,4.375,14.0,No
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,20,77,31,88,Yes,Good,Under-7,M,1496d060-8811-49bd-8836-abc6cebf3caa,Admission,Prasenjit,Mean Stack,Email,Jan-2020,MCA,Chandigarh College of Engineering and Technology,Chandan,05-01-2020,16-02-2020,20-03-2020,25-04-2020,15-05-2020,21-06-2020,-5,6,10,15,5,11,7 days 00:00:00.000000000,17-07-2020,82.23,84.99,5.1,5.5,5.5,4.0,15.0,4.5,4.0,4.5,13.0,4.5,5.5,5.5,15.5,5.0,4.5,4.5,14.0,4.875,4.875,4.625,14.375,No
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,3,8,19,3,No,Bad,Above-7,L,15908ffe-b2f8-4544-b223-c18dd026f9fe,Admission,Prasenjit,AIML,College,Feb-2020,Diploma in ECE,Post Graduate Government College,Manjula,24-01-2020,16-02-2020,15-03-2020,13-04-2020,09-05-2020,11-06-2020,14,6,5,3,-1,1,5 days 00:00:00.000000000,15-07-2020,74.17,69.61,6.1,4.5,3.5,5.5,13.5,5.5,4.0,5.5,15.0,4.0,5.0,4.5,13.5,4.5,5.0,4.5,14.0,4.625,4.375,5.0,14.0,No
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,39,88,43,72,Yes,Good,Under-7,M,15d686c9-3a10-408e-8eca-4504e44f89d6,Enquiry,,Android,Web Enquiry,Apr-2020,B.Tech-IT,"Chandigarh University, Jhanjeri",Dev,08-01-2020,11-02-2020,24-03-2020,14-04-2020,22-05-2020,06-06-2020,-2,1,14,4,12,-4,4 days 00:00:00.000000000,14-07-2020,76.78,67.4,8.6,5.0,4.0,5.5,14.5,4.0,5.5,5.5,15.0,5.0,4.5,4.0,13.5,5.5,5.5,4.5,15.5,4.875,4.875,4.875,14.625,No
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,82,89,22,31,Yes,Good,Under-7,H,15df8968-1e57-47d1-9a6c-f775f8ef157c,Enquiry,,Digital,Walk-in,May-2020,B.Tech-ECE,"Chandigarh University, Gharuan",Dipika,19-01-2020,17-02-2020,10-03-2020,17-04-2020,18-05-2020,21-06-2020,9,7,0,7,8,11,7 days 00:00:00.000000000,17-07-2020,93.73,68.86,8.3,3.5,4.0,4.5,12.0,5.5,4.0,4.5,14.0,5.5,4.0,5.5,15.0,5.0,4.5,5.5,15.0,4.875,4.125,5.0,14.0,No
F,Iraq,Iraq,lowerlevel,G-02,B,French,F,Father,16,90,15,11,No,Good,Under-7,M,16127b1e-6a74-41ce-986a-18ea444e59fc,Enquiry,,Mean Stack,College,Jun-2020,M.Tech-IT,Post Graduate Government College,Kanta,21-01-2020,09-02-2020,14-03-2020,15-04-2020,11-05-2020,12-06-2020,11,-1,4,5,1,2,4 days 00:00:00.000000000,14-07-2020,71.03,67.15,7.6,4.0,4.5,5.0,13.5,4.5,5.0,5.5,15.0,4.0,4.0,4.0,12.0,5.0,5.5,5.0,15.5,4.375,4.75,4.875,14.0,No
